add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0002,0.002,2,cuda:0,0.93204,1.20227
50,0.001,0.0002,0.002,2,cuda:0,0.56311,0.50701
50,0.001,0.0002,0.002,2,cuda:0,0.04854,0.05942
50,0.001,0.0002,0.002,5,cuda:3,0.89320,1.07477
50,0.001,0.0002,0.002,5,cuda:3,0.55340,0.40666
50,0.001,0.0002,0.002,5,cuda:3,0.19417,0.08279
50,0.001,0.0002,0.002,3,cuda:1,0.97087,1.35424
50,0.001,0.0002,0.002,3,cuda:1,0.62136,0.47727
50,0.001,0.0002,0.002,3,cuda:1,0.12621,0.04246
50,0.001,0.0002,0.002,6,cuda:0,0.96117,1.38846
50,0.001,0.0002,0.002,6,cuda:0,0.54369,0.44718
50,0.001,0.0002,0.002,6,cuda:0,0.14563,0.07937
50,0.001,0.0002,0.002,7,cuda:1,0.82524,0.99691
50,0.001,0.0002,0.002,7,cuda:1,0.43689,0.39839
50,0.001,0.0002,0.002,7,cuda:1,0.02913,0.03213
50,0.001,0.0002,0.002,8,cuda:2,0.94175,1.39998
50,0.001,0.0002,0.002,8,cuda:2,0.58252,0.47374
50,0.001,0.0002,0.002,8,cuda:2,0.12621,0.05586
50,0.001,0.0002,0.002,9,cuda:3,0.93204,1.36921
50,0.001,0.0002,0.002,9,cuda:3,0.50485,0.42313
50,0.001,0.0002,0.002,9,cuda:3,0.11650,0.05407
50,0.001,0.0002,0.001,0,cuda:0,0.94175,1.31670
50,0.001,0.0002,0.001,0,cuda:0,0.60194,0.51062
50,0.001,0.0002,0.001,0,cuda:0,0.12621,0.05329
50,0.001,0.0002,0.001,3,cuda:3,0.94175,1.11424
50,0.001,0.0002,0.001,3,cuda:3,0.61165,0.44668
50,0.001,0.0002,0.001,3,cuda:3,0.07767,0.05445
50,0.001,0.0002,0.001,1,cuda:1,0.90291,1.33557
50,0.001,0.0002,0.001,1,cuda:1,0.57282,0.47545
50,0.001,0.0002,0.001,1,cuda:1,0.19417,0.09801
50,0.001,0.0002,0.001,2,cuda:2,0.89320,1.02586
50,0.001,0.0002,0.001,2,cuda:2,0.52427,0.41856
50,0.001,0.0002,0.001,2,cuda:2,0.13592,0.05995
50,0.001,0.0002,0.001,4,cuda:0,0.94175,1.39246
50,0.001,0.0002,0.001,4,cuda:0,0.49515,0.45950
50,0.001,0.0002,0.001,4,cuda:0,0.15534,0.07485
50,0.001,0.0002,0.001,5,cuda:1,0.93204,1.16998
50,0.001,0.0002,0.001,5,cuda:1,0.44660,0.41987
50,0.001,0.0002,0.001,5,cuda:1,0.06796,0.06520
50,0.001,0.0002,0.001,6,cuda:2,0.98058,1.46036
